,FIPS,date,confirmed_cases,confirmed_cases_smooth,num_visits_movavg_14,num_visitors_nmlz_movavg_14,risk,risk_density_weighted,risk_moving_avg,risk_moving_avg_density_weighted,COUNTY,STATE,num_hospital,num_beds,cum_deaths_count,cum_recovered_count,Population Density
0,25003,2020-03-15,9,10,5.0,0.14705882352941171,0.0,0.0,0.0,0.0,BERKSHIRE,MA,3.0,-665.0,,,134.80789357271559
1,29095,2020-03-15,0,1,106.0,0.6901086122571686,0.0,0.0,0.0,0.0,JACKSON,MO,18.0,2792.0,,,1163.0397379479205
2,29183,2020-03-15,0,1,16.666666666666668,0.07290082582039444,0.0,0.0,0.0,0.0,ST. CHARLES,MO,7.0,852.0,,,717.3328099350508
3,34003,2020-03-15,25,26,934.5,9.563810786351322,0.001301201348123693,0.010791276586626054,0.001301201348123693,0.010791276586626054,BERGEN,NJ,10.0,3019.0,,,4000.695249130939
4,34013,2020-03-15,7,8,329.5,3.033358953747824,0.00020755883036263224,0.001815913335574629,0.00020755883036263224,0.001815913335574629,ESSEX,NJ,13.0,3048.0,,,6330.520560969812
5,34017,2020-03-15,5,6,229.6,2.211714835119577,0.00010135582758641964,0.0009650426191284506,0.00010135582758641964,0.0009650426191284506,HUDSON,NJ,8.0,879.0,,,14557.068629573501
6,34019,2020-03-15,1,2,137.0,1.4642506223104912,0.0,0.0,0.0,0.0,HUNTERDON,NJ,1.0,184.0,,,290.70870927025385
7,34023,2020-03-15,10,11,436.0,4.0164882476903365,0.0005331107498971608,0.004206331162444939,0.0005331107498971608,0.00420633116244494,MIDDLESEX,NJ,13.0,784.0,,,2670.8814865171084
8,34025,2020-03-15,8,9,1046.0,10.476015219083928,0.001218938575415191,0.008758530047779128,0.001218938575415191,0.008758530047779128,MONMOUTH,NJ,7.0,966.0,,,1319.9833614198255
9,34027,2020-03-15,3,4,283.0,2.6686765571317763,6.410556382299809e-05,0.0004470915099215376,6.410556382299809e-05,0.0004470915099215376,MORRIS,NJ,10.0,1006.0,,,1068.8100308574908
10,34029,2020-03-15,1,2,228.33333333333331,1.6301654261606406,8.563268966413751e-06,5.7059545733920494e-05,8.56326896641375e-06,5.7059545733920494e-05,OCEAN,NJ,9.0,1522.0,,,965.6573046216484
11,34031,2020-03-15,2,3,105.0,1.1864250475796037,1.4420932135197047e-05,0.0001136074932426585,1.4420932135197047e-05,0.0001136074932426585,PASSAIC,NJ,6.0,457.0,,,2718.597973888076
12,34035,2020-03-15,1,2,132.5,1.2083465090402659,9.432997273364394e-06,6.793172101895548e-05,9.432997273364394e-06,6.793172101895548e-05,SOMERSET,NJ,5.0,-240.0,,,1089.8711109638514
13,34037,2020-03-15,0,1,156.0,1.2798941941842021,0.0,0.0,0.0,0.0,SUSSEX,NJ,2.0,-853.0,,,270.6845725515886
14,34039,2020-03-15,3,4,276.0,2.9627834652577647,1.4420809200268295e-05,0.00013369148779076494,1.4420809200268298e-05,0.00013369148779076497,UNION,NJ,10.0,522.0,,,5408.720591094691
15,34041,2020-03-15,0,1,5.0,0.019379844961240317,0.0,0.0,0.0,0.0,WARREN,NJ,3.0,-690.0,,,294.9316373417012
16,36001,2020-03-15,7,8,825.0869565217392,8.216401990839177,0.0013081221218582898,0.008327683574074981,0.0013081221218582898,0.008327683574074983,ALBANY,NY,7.0,-617.0,0.0,0.0,584.3649579188982
17,36003,2020-03-15,0,1,576.75,7.37742105275305,0.0,0.0,0.0,0.0,ALLEGANY,NY,2.0,76.0,0.0,0.0,44.778540964335335
18,36005,2020-03-15,0,1,2765.25,27.55011313932797,0.0011121702409448114,0.012239489882150343,0.0011121702409448114,0.012239489882150343,BRONX,NY,14.0,-1535.0,,,33686.627078384794
19,36007,2020-03-15,1,2,1600.4444444444446,20.204597511930015,0.0002560788483943151,0.0013563478888027694,0.0002560788483943151,0.0013563478888027694,BROOME,NY,4.0,-257.0,0.0,0.0,269.9009592360117
20,36009,2020-03-15,0,1,534.0,18.04523165425778,1.7538487523368943e-06,1.1893125308254027e-05,1.7538487523368943e-06,1.1893125308254027e-05,CATTARAUGUS,NY,2.0,248.0,0.0,0.0,58.17785760690946
21,36011,2020-03-15,0,1,829.5,14.03116889812746,0.0,0.0,0.0,0.0,CAYUGA,NY,1.0,99.0,0.0,0.0,110.72616327829027
22,36013,2020-03-15,0,1,987.125,14.935498797853661,1.775154426738977e-05,0.0001359859279380302,1.775154426738977e-05,0.0001359859279380302,CHAUTAUQUA,NY,5.0,399.0,0.0,0.0,119.69384001584562
23,36015,2020-03-15,0,1,1267.625,17.785846921605312,5.497831620556893e-06,2.533489504957661e-05,5.497831620556893e-06,2.533489504957661e-05,CHEMUNG,NY,3.0,-608.0,0.0,0.0,204.8754142629189
24,36017,2020-03-15,0,1,501.0,8.827509551188037,3.2607932011918965e-07,1.82540999253924e-06,3.260793201191897e-07,1.8254099925392402e-06,CHENANGO,NY,1.0,58.0,0.0,0.0,52.83084326562589
25,36019,2020-03-15,0,1,914.5,15.876910037802164,0.0,0.0,0.0,0.0,CLINTON,NY,1.0,300.0,0.0,0.0,77.54974225562462
26,36021,2020-03-15,0,1,548.25,10.560953708942966,1.3218927086412504e-05,8.421151493643916e-05,1.3218927086412504e-05,8.421151493643916e-05,,,,,0.0,0.0,93.68215405460761
27,36023,2020-03-15,0,1,487.66666666666674,5.9742998877015765,1.001783319919791e-05,5.3395301551954413e-05,1.001783319919791e-05,5.3395301551954413e-05,CORTLAND,NY,1.0,162.0,0.0,0.0,95.3985884994787
