,FIPS,date,confirmed_cases,confirmed_cases_smooth,num_visits_movavg_14,num_visitors_nmlz_movavg_14,risk,risk_density_weighted,risk_moving_avg,risk_moving_avg_density_weighted
89,34029.0,2020-03-10,0,1,,,0.0,0.0,,
90,34031.0,2020-03-10,1,2,,,0.0,0.0,,
91,34035.0,2020-03-10,0,1,,,0.0,0.0,,
92,34037.0,2020-03-10,0,1,,,0.0,0.0,,
93,34039.0,2020-03-10,1,2,,,1.1845758236425774e-07,1.3237896539832132e-06,,
94,34041.0,2020-03-10,0,1,,,0.0,0.0,,
95,36001.0,2020-03-10,0,1,,,5.7354877303931196e-06,3.232838277358447e-05,,
96,36003.0,2020-03-10,0,1,,,0.0,0.0,,
97,36005.0,2020-03-10,0,1,,,0.0009074649858833891,0.007118469542603175,,
98,36007.0,2020-03-10,0,1,,,0.0,0.0,,
99,36009.0,2020-03-10,0,1,,,0.0,0.0,,
100,36011.0,2020-03-10,0,1,,,0.0,0.0,,
101,36013.0,2020-03-10,0,1,,,1.6412069368277261e-06,1.3876900830184865e-05,,
102,36015.0,2020-03-10,0,1,,,0.0,0.0,,
103,36017.0,2020-03-10,0,1,,,0.0,0.0,,
104,36019.0,2020-03-10,0,1,,,0.0,0.0,,
105,36021.0,2020-03-10,0,1,,,0.0,0.0,,
106,36023.0,2020-03-10,0,1,,,0.0,0.0,,
107,36025.0,2020-03-10,0,1,,,0.0,0.0,,
108,36027.0,2020-03-10,0,1,,,5.422880392276422e-06,2.74521093441723e-05,,
109,36029.0,2020-03-10,0,1,,,1.2594627031351409e-07,6.176217126939246e-07,,
110,36031.0,2020-03-10,0,1,,,0.00029421357533507075,0.002270656811636115,,
111,36033.0,2020-03-10,0,1,,,0.0,0.0,,
112,36035.0,2020-03-10,0,1,,,7.418966336297343e-06,4.1904022311233025e-05,,
113,36037.0,2020-03-10,0,1,,,0.0,0.0,,
114,36039.0,2020-03-10,0,1,,,4.324642495950024e-06,3.78478123496896e-05,,
115,36041.0,2020-03-10,0,1,,,0.0,0.0,,
116,36043.0,2020-03-10,0,1,,,0.0,0.0,,
117,36045.0,2020-03-10,0,1,,,0.0,0.0,,
118,36047.0,2020-03-10,0,1,,,5.638603153601891e-06,4.9036746361223045e-05,,
119,36049.0,2020-03-10,0,1,,,0.0,0.0,,
120,36051.0,2020-03-10,0,1,,,0.0,0.0,,
121,36053.0,2020-03-10,0,1,,,0.0,0.0,,
122,36055.0,2020-03-10,0,1,,,2.975200871707892e-07,2.5144022977460046e-06,,
123,36057.0,2020-03-10,0,1,,,5.750652177408355e-06,3.248100156045816e-05,,
124,36059.0,2020-03-10,19,20,,,0.027035399379998038,0.2289190620547222,,
125,36061.0,2020-03-10,25,26,,,0.0006519703263273124,0.007085045941380875,,
126,36063.0,2020-03-10,0,1,,,0.0,0.0,,
127,36065.0,2020-03-10,0,1,,,0.0,0.0,,
128,36067.0,2020-03-10,0,1,,,0.0,0.0,,
129,36069.0,2020-03-10,0,1,,,0.0,0.0,,
130,36071.0,2020-03-10,0,1,,,1.9130084849436794e-05,0.00010251295659392881,,
131,36073.0,2020-03-10,0,1,,,0.0,0.0,,
132,36075.0,2020-03-10,0,1,,,0.0,0.0,,
133,36077.0,2020-03-10,0,1,,,0.0,0.0,,
134,36079.0,2020-03-10,0,1,,,0.01397666975346869,0.10786508371537457,,
135,36081.0,2020-03-10,0,1,,,8.25358301582965e-05,0.0006764875833844421,,
136,36083.0,2020-03-10,0,1,,,5.289632096337496e-06,3.020992589948272e-05,,
137,36085.0,2020-03-10,0,1,,,3.7006390383123683e-07,4.007619018731265e-06,,
138,36087.0,2020-03-10,4,5,,,0.0028102230166276946,0.021274193592130817,,
139,36089.0,2020-03-10,0,1,,,0.0,0.0,,
140,36091.0,2020-03-10,2,3,,,0.00046662962415128413,0.002635631069769287,,
141,36093.0,2020-03-10,0,1,,,1.4739327611752773e-05,8.680430602571972e-05,,
142,36095.0,2020-03-10,0,1,,,0.0,0.0,,
143,36097.0,2020-03-10,0,1,,,0.0,0.0,,
144,36099.0,2020-03-10,0,1,,,5.897472477832091e-07,4.473915327921498e-06,,
145,36101.0,2020-03-10,0,1,,,0.0,0.0,,
146,36103.0,2020-03-10,1,2,,,0.00139291297198061,0.011352261895050834,,
147,36105.0,2020-03-10,0,1,,,5.594835027337482e-07,2.3831957953798485e-06,,
148,36107.0,2020-03-10,0,1,,,0.0,0.0,,
149,36109.0,2020-03-10,0,1,,,0.0,0.0,,
