	AreaName	Total area in square miles 1990	Total area in square miles 2000	Land area in square miles 1980	Land area in square miles 1990	Land area in square miles 2000	Land area in square miles 2010	Water area in square miles 1990	Water area in square miles 2000	county	state
0	UNITED STATES	3787425.08	3794083.06	3539289.16	3536341.73	3537438.44	3531905.43	251083.35	256644.62		
1	ALABAMA	52422.94	52419.02	50767.18	50750.23	50744.0	50645.33	1672.71	1675.01		
2	Autauga, AL	604.49	604.45	597.04	596.01	595.97	594.44	8.48	8.48	Autauga	 AL
3	Baldwin, AL	2027.08	2026.93	1589.42	1596.53	1596.35	1589.78	430.55	430.58	Baldwin	 AL
4	Barbour, AL	904.59	904.52	883.89	885.0	884.9	884.88	19.59	19.61	Barbour	 AL
5	Bibb, AL	625.5	626.16	624.97	622.36	623.03	622.58	3.14	3.14	Bibb	 AL
6	Blount, AL	650.65	650.6	643.3	645.68	645.59	644.78	4.97	5.02	Blount	 AL
7	Bullock, AL	626.11	626.06	624.82	625.07	625.01	622.81	1.04	1.04	Bullock	 AL
8	Butler, AL	777.99	777.92	779.14	776.94	776.87	776.83	1.05	1.05	Butler	 AL
9	Calhoun, AL	612.35	612.32	610.96	608.5	608.46	605.87	3.85	3.86	Calhoun	 AL
10	Chambers, AL	603.15	603.11	595.69	597.4	597.17	596.53	5.75	5.94	Chambers	 AL
11	Cherokee, AL	600.0	599.95	553.31	553.17	553.12	553.7	46.83	46.83	Cherokee	 AL
12	Chilton, AL	700.8	700.76	694.51	694.06	693.98	692.85	6.74	6.78	Chilton	 AL
13	Choctaw, AL	920.91	920.85	909.44	913.58	913.51	913.5	7.33	7.34	Choctaw	 AL
14	Clarke, AL	1252.6	1252.51	1230.17	1238.47	1238.38	1238.47	14.13	14.13	Clarke	 AL
15	Clay, AL	606.05	606.0	605.06	605.12	605.07	603.96	0.93	0.93	Clay	 AL
16	Cleburne, AL	561.06	561.02	560.67	560.2	560.21	560.1	0.86	0.81	Cleburne	 AL
17	Coffee, AL	680.52	680.48	680.23	679.19	678.99	678.97	1.33	1.49	Coffee	 AL
18	Colbert, AL	623.66	623.61	589.1	594.58	594.53	592.62	29.08	29.08	Colbert	 AL
19	Conecuh, AL	852.58	852.51	853.98	850.87	850.79	850.16	1.71	1.71	Conecuh	 AL
20	Coosa, AL	666.41	666.36	657.18	652.49	652.44	650.93	13.92	13.91	Coosa	 AL
21	Covington, AL	1043.95	1043.86	1037.99	1034.73	1033.82	1030.46	9.22	10.05	Covington	 AL
22	Crenshaw, AL	610.91	610.88	610.82	609.62	609.58	608.84	1.29	1.3	Crenshaw	 AL
23	Cullman, AL	754.86	754.82	737.81	738.48	738.43	734.84	16.38	16.39	Cullman	 AL
24	Dale, AL	562.72	562.67	561.29	561.12	561.07	561.15	1.6	1.6	Dale	 AL
25	Dallas, AL	993.46	993.37	975.17	980.8	980.71	978.7	12.66	12.66	Dallas	 AL
26	DeKalb, AL	778.71	778.65	778.18	777.98	777.91	777.09	0.73	0.74	DeKalb	 AL
27	Elmore, AL	657.26	657.21	622.45	621.58	621.26	618.49	35.68	35.96	Elmore	 AL
28	Escambia, AL	953.04	952.95	950.82	947.47	947.38	945.08	5.57	5.57	Escambia	 AL
29	Etowah, AL	548.81	548.75	542.32	534.84	534.82	534.99	13.97	13.93	Etowah	 AL
30	Fayette, AL	629.38	629.34	629.63	627.81	627.66	627.66	1.57	1.68	Fayette	 AL
31	Franklin, AL	646.55	646.51	642.7	635.68	635.64	633.82	10.87	10.86	Franklin	 AL
32	Geneva, AL	578.96	578.9	577.86	576.38	576.28	574.41	2.58	2.62	Geneva	 AL
33	Greene, AL	659.99	659.93	630.68	645.96	645.87	647.11	14.03	14.07	Greene	 AL
34	Hale, AL	656.52	656.47	660.71	643.78	643.74	643.94	12.74	12.74	Hale	 AL
35	Henry, AL	568.38	568.33	556.63	561.96	561.8	561.75	6.42	6.53	Henry	 AL
36	Houston, AL	581.71	581.65	577.04	580.41	580.36	579.82	1.3	1.29	Houston	 AL
37	Jackson, AL	1126.82	1126.77	1069.64	1078.8	1078.74	1077.87	48.02	48.02	Jackson	 AL
38	Jefferson, AL	1123.87	1123.8	1119.08	1112.67	1112.61	1111.28	11.2	11.2	Jefferson	 AL
39	Lamar, AL	605.51	605.47	604.95	604.89	604.85	604.85	0.62	0.62	Lamar	 AL
40	Lauderdale, AL	718.84	718.78	661.4	669.52	669.46	667.7	49.32	49.32	Lauderdale	 AL
41	Lawrence, AL	718.13	718.07	693.37	693.45	693.38	690.68	24.68	24.68	Lawrence	 AL
42	Lee, AL	615.61	615.55	609.34	608.79	608.71	607.54	6.82	6.84	Lee	 AL
43	Limestone, AL	607.12	607.08	558.85	568.09	568.05	559.94	39.03	39.03	Limestone	 AL
44	Lowndes, AL	725.09	725.03	714.39	718.0	717.94	715.91	7.09	7.1	Lowndes	 AL
45	Macon, AL	613.29	613.24	613.65	610.57	610.52	608.89	2.72	2.72	Macon	 AL
46	Madison, AL	812.89	812.85	805.69	804.96	804.92	801.59	7.93	7.93	Madison	 AL
47	Marengo, AL	982.92	982.85	981.87	977.12	977.04	976.88	5.8	5.8	Marengo	 AL
48	Marion, AL	743.62	743.57	743.4	741.46	741.41	742.29	2.16	2.16	Marion	 AL
49	Marshall, AL	623.21	623.16	567.25	567.1	567.06	565.84	56.11	56.1	Marshall	 AL
50	Mobile, AL	1644.14	1644.02	1237.96	1233.36	1233.09	1229.44	410.78	410.93	Mobile	 AL
51	Monroe, AL	1034.62	1034.53	1019.21	1025.97	1025.85	1025.68	8.65	8.67	Monroe	 AL
52	Montgomery, AL	799.81	799.76	793.14	789.87	789.76	784.25	9.94	9.99	Montgomery	 AL
53	Morgan, AL	599.09	599.06	575.25	582.25	582.21	579.34	16.84	16.84	Morgan	 AL
54	Perry, AL	724.13	724.08	718.49	719.54	719.48	719.66	4.59	4.59	Perry	 AL
55	Pickens, AL	890.1	890.05	889.64	881.46	881.42	881.41	8.64	8.63	Pickens	 AL
56	Pike, AL	672.15	672.1	672.23	671.09	671.03	672.09	1.06	1.06	Pike	 AL
57	Randolph, AL	584.15	584.11	584.48	581.09	581.05	580.55	3.06	3.06	Randolph	 AL
58	Russell, AL	647.44	647.38	633.78	641.14	641.32	641.14	6.3	6.06	Russell	 AL
59	St. Clair, AL	653.66	653.61	646.06	633.99	633.75	631.9	19.67	19.86	St. Clair	 AL
60	Shelby, AL	809.6	809.53	800.48	794.92	794.69	784.93	14.68	14.83	Shelby	 AL
61	Sumter, AL	913.35	913.3	907.12	904.98	904.94	903.89	8.37	8.37	Sumter	 AL
62	Talladega, AL	760.32	760.25	753.0	739.6	739.53	736.78	20.72	20.72	Talladega	 AL
63	Tallapoosa, AL	766.3	766.23	701.27	718.04	717.93	716.52	48.26	48.3	Tallapoosa	 AL
64	Tuscaloosa, AL	1352.03	1351.23	1336.28	1325.27	1324.37	1321.76	26.76	26.85	Tuscaloosa	 AL
65	Walker, AL	805.36	805.3	803.57	794.45	794.39	791.19	10.91	10.91	Walker	 AL
66	Washington, AL	1088.62	1088.54	1080.82	1080.73	1080.66	1080.21	7.89	7.89	Washington	 AL
67	Wilcox, AL	907.54	907.46	883.14	888.76	888.68	888.5	18.78	18.78	Wilcox	 AL
68	Winston, AL	631.9	631.86	613.4	614.48	614.44	612.98	17.42	17.42	Winston	 AL
69	ALASKA	656424.14	663267.26	570833.0	570373.55	571951.26	570640.95	86050.59	91316.0		
70	Aleutians East, AK	15011.77	15011.6	0.0	6984.75	6988.14	6981.94	8027.02	8023.46	Aleutians East	 AK
71	Aleutians West, AK	14114.7	14116.51	10890.0	4402.11	4396.77	4390.28	9712.59	9719.74	Aleutians West	 AK
72	Anchorage, AK	1961.51	1961.09	1732.0	1697.64	1697.21	1704.68	263.87	263.88	Anchorage	 AK
73	Bethel, AK	45954.59	45508.46	36104.0	41087.41	40633.31	40570.0	4867.18	4875.15	Bethel	 AK
74	Bristol Bay, AK	917.61	887.68	531.0	519.22	504.92	503.84	398.39	382.77	Bristol Bay	 AK
75	Denali, AK	0.0	12774.53	0.0	0.0	12749.65	12751.41	0.0	24.88	Denali	 AK
76	Dillingham, AK	20613.12	20928.41	46042.0	18466.93	18674.78	18568.78	2146.19	2253.63	Dillingham	 AK
77	Fairbanks North Star, AK	7443.68	7444.02	7404.0	7362.43	7366.24	7338.21	81.25	77.78	Fairbanks North Star	 AK
78	Haines, AK	2754.1	2725.82	2374.0	2357.0	2343.73	2318.6	397.1	382.09	Haines	 AK
79	Hoonah-Angoon, AK	17500.23	11376.73	13239.0	12880.62	7896.48	7524.92	4619.61	3480.25	Hoonah-Angoon	 AK
80	Juneau, AK	3081.12	3255.01	2626.0	2593.56	2716.67	2701.93	487.56	538.34	Juneau	 AK
81	Kenai Peninsula, AK	21664.33	24754.6	16056.0	16078.92	16013.26	16075.33	5585.41	8741.34	Kenai Peninsula	 AK
82	Ketchikan Gateway, AK	1743.55	1753.98	1242.0	1219.64	1233.22	4858.41	523.91	520.75	Ketchikan Gateway	 AK
83	Kodiak Island, AK	11845.9	12023.67	4796.0	6462.57	6559.85	6549.58	5383.33	5463.83	Kodiak Island	 AK
84	Lake and Peninsula, AK	29008.24	30906.96	0.0	23632.32	23781.96	23652.01	5375.92	7125.0	Lake and Peninsula	 AK
85	Matanuska-Susitna, AK	25232.41	25259.79	24502.0	24693.64	24681.54	24607.9	538.77	578.25	Matanuska-Susitna	 AK
86	Nome, AK	28276.17	28283.33	23871.0	23012.56	23000.91	22961.76	5263.61	5282.42	Nome	 AK
87	North Slope, AK	93823.1	94762.64	90955.0	87860.49	88817.12	88695.41	5962.61	5945.53	North Slope	 AK
88	Northwest Arctic, AK	40660.96	40762.0	31593.0	35862.47	35898.34	35572.58	4798.49	4863.66	Northwest Arctic	 AK
89	Petersburg, AK	8973.77	9021.21	5965.0	5808.53	5834.94	3281.98	3165.24	3186.27	Petersburg	 AK
90	Prince of Wales-Hyder, AK	12566.41	12706.3	7660.0	7324.47	7410.62	3922.87	5241.94	5295.67	Prince of Wales-Hyder	 AK
91	Sitka, AK	4849.75	4811.53	2938.0	2881.48	2873.98	2870.34	1968.27	1937.55	Sitka	 AK
92	Skagway, AK	0.0	0.0	0.0	0.0	0.0	452.33	0.0	0.0	Skagway	 AK
93	Southeast Fairbanks, AK	26235.44	25061.19	24169.0	25994.11	24814.86	24768.81	241.33	246.33	Southeast Fairbanks	 AK
94	Valdez-Cordova, AK	43515.67	40199.15	39229.0	36945.35	34319.1	34239.88	6570.32	5880.05	Valdez-Cordova	 AK
95	Wade Hampton, AK	19680.08	19669.24	17816.0	17124.08	17193.5	17081.43	2556.0	2475.74	Wade Hampton	 AK
96	Wrangell, AK	0.0	0.0	0.0	0.0	0.0	2541.48	0.0	0.0	Wrangell	 AK
97	Yakutat, AK	0.0	9459.28	0.0	0.0	7650.46	7649.46	0.0	1808.82	Yakutat	 AK
98	Yukon-Koyukuk, AK	158995.95	147842.51	159099.0	157121.27	145899.69	145504.79	1874.68	1942.83	Yukon-Koyukuk	 AK
99	ARIZONA	114006.26	113998.3	113508.06	113642.26	113634.57	113594.08	364.0	363.73		
100	Apache, AZ	11219.17	11218.42	11211.05	11205.68	11204.88	11197.52	13.49	13.54	Apache	 AZ
101	Cochise, AZ	6219.32	6218.77	6218.37	6170.0	6169.45	6165.69	49.32	49.32	Cochise	 AZ
102	Coconino, AZ	18662.57	18661.21	18607.63	18619.14	18617.42	18618.89	43.43	43.79	Coconino	 AZ
103	Gila, AZ	4796.14	4795.74	4752.4	4768.11	4767.7	4757.93	28.03	28.03	Gila	 AZ
104	Graham, AZ	4641.47	4641.14	4630.37	4629.64	4629.32	4622.6	11.83	11.83	Graham	 AZ
105	Greenlee, AZ	1848.55	1848.42	1836.76	1847.13	1847.0	1843.13	1.42	1.42	Greenlee	 AZ
106	La Paz, AZ	4513.66	4513.36	0.0	4499.57	4499.95	4499.63	14.09	13.4	La Paz	 AZ
107	Maricopa, AZ	9224.86	9224.27	9126.76	9204.05	9203.14	9200.14	20.81	21.13	Maricopa	 AZ
108	Mohave, AZ	13470.5	13469.71	13285.33	13312.42	13311.64	13311.08	158.08	158.07	Mohave	 AZ
109	Navajo, AZ	9960.22	9959.49	9954.71	9953.8	9953.18	9950.42	6.42	6.31	Navajo	 AZ
110	Pima, AZ	9189.44	9188.83	9186.79	9187.01	9186.27	9187.04	2.43	2.57	Pima	 AZ
111	Pinal, AZ	5374.49	5374.09	5343.34	5369.99	5369.59	5365.61	4.5	4.5	Pinal	 AZ
112	Santa Cruz, AZ	1238.22	1238.11	1238.0	1237.75	1237.63	1236.92	0.47	0.47	Santa Cruz	 AZ
113	Yavapai, AZ	8128.33	8127.78	8122.52	8123.54	8123.3	8123.5	4.79	4.48	Yavapai	 AZ
114	Yuma, AZ	5519.32	5518.96	9994.03	5514.43	5514.09	5513.99	4.89	4.87	Yuma	 AZ
115	ARKANSAS	53182.36	53178.62	52078.24	52075.29	52068.17	52035.48	1107.07	1110.45		
116	Arkansas, AR	1033.85	1033.79	1005.87	988.53	988.49	988.77	45.32	45.3	Arkansas	 AR
117	Ashley, AR	939.16	939.08	933.57	921.36	921.15	925.35	17.8	17.93	Ashley	 AR
118	Baxter, AR	586.78	586.74	545.77	554.41	554.36	554.28	32.37	32.38	Baxter	 AR
119	Benton, AR	876.82	880.24	843.47	843.31	845.99	847.36	33.51	34.25	Benton	 AR
120	Boone, AR	601.86	601.82	583.97	591.22	591.18	590.23	10.64	10.64	Boone	 AR
121	Bradley, AR	654.43	654.38	654.14	650.68	650.63	649.23	3.75	3.75	Bradley	 AR
122	Calhoun, AR	632.59	632.54	628.49	628.33	628.27	628.58	4.26	4.27	Calhoun	 AR
123	Carroll, AR	642.33	638.81	633.96	633.79	630.27	630.09	8.54	8.54	Carroll	 AR
124	Chicot, AR	690.93	690.88	649.41	644.07	644.03	644.3	46.86	46.86	Chicot	 AR
125	Clark, AR	882.68	882.6	866.64	865.51	865.43	866.07	17.17	17.17	Clark	 AR
126	Clay, AR	641.47	641.42	640.98	639.35	639.3	639.47	2.12	2.12	Clay	 AR
127	Cleburne, AR	591.95	591.91	550.51	553.09	553.05	553.69	38.86	38.86	Cleburne	 AR
128	Cleveland, AR	598.84	598.8	598.66	597.75	597.74	597.78	1.09	1.06	Cleveland	 AR
129	Columbia, AR	766.94	766.86	767.1	766.19	766.11	766.05	0.75	0.75	Columbia	 AR
130	Conway, AR	566.71	566.66	558.37	556.22	556.15	552.25	10.49	10.51	Conway	 AR
131	Craighead, AR	713.03	712.98	713.22	710.8	710.84	707.21	2.23	2.14	Craighead	 AR
132	Crawford, AR	604.24	604.2	593.61	595.5	595.39	593.09	8.74	8.81	Crawford	 AR
133	Crittenden, AR	636.73	636.69	599.35	610.49	610.17	609.76	26.24	26.52	Crittenden	 AR
134	Cross, AR	622.38	622.33	622.49	615.9	615.85	616.38	6.48	6.49	Cross	 AR
135	Dallas, AR	668.21	668.16	667.73	667.47	667.42	667.39	0.74	0.74	Dallas	 AR
136	Desha, AR	819.57	819.52	746.47	765.04	764.99	768.15	54.53	54.53	Desha	 AR
137	Drew, AR	835.71	835.65	831.4	828.24	828.18	828.36	7.47	7.47	Drew	 AR
138	Faulkner, AR	664.05	664.01	645.43	647.36	647.38	647.88	16.69	16.63	Faulkner	 AR
139	Franklin, AR	619.72	619.69	608.7	609.59	609.55	608.86	10.13	10.13	Franklin	 AR
140	Fulton, AR	620.36	620.31	616.09	618.23	618.16	618.19	2.13	2.16	Fulton	 AR
141	Garland, AR	734.61	734.57	656.91	678.05	677.22	677.78	56.56	57.35	Garland	 AR
142	Grant, AR	633.06	633.01	632.97	631.83	631.78	631.81	1.23	1.23	Grant	 AR
143	Greene, AR	579.69	579.65	578.54	577.55	577.51	577.7	2.14	2.14	Greene	 AR
144	Hempstead, AR	741.42	741.36	724.53	728.85	728.77	727.52	12.57	12.59	Hempstead	 AR
145	Hot Spring, AR	622.2	622.16	615.01	614.97	614.93	615.2	7.23	7.22	Hot Spring	 AR
146	Howard, AR	595.24	595.2	573.64	587.47	587.42	588.55	7.77	7.78	Howard	 AR
147	Independence, AR	771.64	771.57	763.42	763.85	763.78	763.95	7.79	7.79	Independence	 AR
148	Izard, AR	584.07	584.02	581.3	580.75	580.68	580.58	3.32	3.34	Izard	 AR
149	Jackson, AR	641.5	641.45	632.74	633.58	633.52	633.94	7.92	7.92	Jackson	 AR
150	Jefferson, AR	913.75	913.7	881.9	884.79	884.82	870.75	28.96	28.88	Jefferson	 AR
151	Johnson, AR	682.78	682.74	675.57	662.21	662.17	659.8	20.57	20.57	Johnson	 AR
152	Lafayette, AR	545.11	545.07	517.59	526.54	526.5	528.27	18.57	18.57	Lafayette	 AR
153	Lawrence, AR	592.39	592.34	589.11	586.61	586.57	587.61	5.78	5.78	Lawrence	 AR
154	Lee, AR	619.5	619.47	601.64	601.7	601.66	602.62	17.8	17.8	Lee	 AR
155	Lincoln, AR	572.21	572.17	562.45	561.24	561.2	561.52	10.97	10.97	Lincoln	 AR
156	Little River, AR	564.9	564.87	515.82	531.76	531.73	532.25	33.14	33.14	Little River	 AR
157	Logan, AR	731.55	731.5	717.17	709.92	709.87	708.13	21.63	21.63	Logan	 AR
158	Lonoke, AR	802.48	802.43	782.87	765.5	765.96	770.73	36.98	36.47	Lonoke	 AR
159	Madison, AR	837.13	837.06	837.47	836.96	836.81	834.26	0.17	0.25	Madison	 AR
160	Marion, AR	640.38	640.35	587.13	597.73	597.7	597.01	42.65	42.65	Marion	 AR
161	Miller, AR	637.53	637.48	619.14	624.08	623.98	625.58	13.45	13.5	Miller	 AR
162	Mississippi, AR	919.8	919.73	896.48	898.32	898.25	900.57	21.48	21.48	Mississippi	 AR
163	Monroe, AR	621.46	621.41	608.74	606.72	606.65	607.12	14.74	14.76	Monroe	 AR
164	Montgomery, AR	800.34	800.29	774.46	780.97	780.93	779.88	19.37	19.36	Montgomery	 AR
165	Nevada, AR	620.83	620.78	620.45	620.01	619.95	617.84	0.82	0.83	Nevada	 AR
166	Newton, AR	823.24	823.18	822.99	823.03	822.97	820.9	0.21	0.21	Newton	 AR
167	Ouachita, AR	739.7	739.63	736.83	732.52	732.45	732.78	7.18	7.18	Ouachita	 AR
168	Perry, AR	560.51	560.47	550.42	550.96	550.94	551.4	9.55	9.53	Perry	 AR
169	Phillips, AR	727.34	727.29	685.27	692.72	692.67	695.66	34.62	34.62	Phillips	 AR
170	Pike, AR	613.93	613.88	598.48	603.06	603.01	600.62	10.87	10.87	Pike	 AR
171	Poinsett, AR	763.44	763.39	762.32	757.79	757.74	758.39	5.65	5.65	Poinsett	 AR
172	Polk, AR	862.47	862.42	860.39	859.45	859.38	857.68	3.02	3.04	Polk	 AR
173	Pope, AR	830.84	830.79	820.03	811.95	811.9	812.55	18.89	18.89	Pope	 AR
174	Prairie, AR	675.81	675.76	655.55	646.0	645.93	647.96	29.81	29.83	Prairie	 AR
175	Pulaski, AR	807.91	807.84	766.82	770.95	770.82	759.76	36.96	37.02	Pulaski	 AR
176	Randolph, AR	656.08	656.04	655.99	651.87	651.82	652.19	4.21	4.21	Randolph	 AR
177	St. Francis, AR	642.44	642.4	638.44	633.88	633.84	634.77	8.56	8.56	St. Francis	 AR
178	Saline, AR	730.5	730.46	725.09	724.76	723.46	723.6	5.74	7.0	Saline	 AR
179	Scott, AR	898.15	898.09	896.48	893.94	893.88	892.32	4.21	4.21	Scott	 AR
180	Searcy, AR	668.56	668.51	668.02	667.2	667.15	666.1	1.36	1.36	Searcy	 AR
181	Sebastian, AR	546.07	546.04	534.9	536.37	536.24	531.91	9.7	9.79	Sebastian	 AR
182	Sevier, AR	581.38	581.35	560.16	563.97	563.94	565.13	17.41	17.41	Sevier	 AR
183	Sharp, AR	606.39	606.35	606.14	604.4	604.35	604.44	1.99	1.99	Sharp	 AR
184	Stone, AR	609.47	609.43	605.93	606.63	606.59	606.41	2.84	2.84	Stone	 AR
185	Union, AR	1055.36	1055.27	1053.17	1038.99	1038.9	1039.21	16.37	16.37	Union	 AR
186	Van Buren, AR	724.36	724.32	709.33	711.56	711.51	708.14	12.8	12.81	Van Buren	 AR
187	Washington, AR	956.07	956.01	950.81	950.24	949.72	941.97	5.83	6.29	Washington	 AR
188	White, AR	1042.43	1042.36	1040.08	1034.15	1034.03	1035.08	8.28	8.33	White	 AR
189	Woodruff, AR	594.09	594.05	591.81	586.6	586.56	586.79	7.49	7.49	Woodruff	 AR
190	Yell, AR	948.89	948.84	930.34	927.89	927.89	929.98	21.0	20.95	Yell	 AR
191	CALIFORNIA	163707.15	163695.57	156299.01	155973.09	155959.34	155779.22	7734.06	7736.23		
192	Alameda, CA	821.26	821.15	736.36	737.5	737.57	739.02	83.76	83.57	Alameda	 CA
193	Alpine, CA	743.23	743.19	738.42	738.66	738.62	738.33	4.57	4.57	Alpine	 CA
194	Amador, CA	604.26	604.69	589.29	592.56	592.97	594.58	11.7	11.73	Amador	 CA
195	Butte, CA	1677.22	1677.11	1646.46	1639.6	1639.49	1636.46	37.62	37.62	Butte	 CA
196	Calaveras, CA	1036.92	1036.84	1021.19	1020.18	1020.04	1020.01	16.74	16.81	Calaveras	 CA
197	Colusa, CA	1156.32	1156.22	1152.38	1150.77	1150.68	1150.73	5.55	5.54	Colusa	 CA
198	Contra Costa, CA	802.18	802.15	729.63	720.29	719.95	715.94	81.89	82.2	Contra Costa	 CA
199	Del Norte, CA	1229.84	1229.75	1006.7	1007.89	1007.81	1006.37	221.95	221.94	Del Norte	 CA
200	El Dorado, CA	1791.29	1788.1	1715.26	1711.48	1710.85	1707.88	79.81	77.25	El Dorado	 CA
201	Fresno, CA	6017.89	6017.42	5977.78	5963.21	5962.73	5957.99	54.68	54.7	Fresno	 CA
202	Glenn, CA	1327.25	1327.16	1319.37	1314.89	1314.79	1313.95	12.36	12.36	Glenn	 CA
203	Humboldt, CA	4052.52	4052.22	3579.11	3572.79	3572.49	3567.99	479.73	479.74	Humboldt	 CA
204	Imperial, CA	4482.08	4481.73	4173.13	4175.05	4174.73	4176.6	307.03	307.0	Imperial	 CA
205	Inyo, CA	10227.75	10226.98	10223.05	10192.07	10203.1	10180.88	35.68	23.88	Inyo	 CA
206	Kern, CA	8162.03	8161.42	8129.81	8141.6	8140.96	8131.92	20.43	20.46	Kern	 CA
207	Kings, CA	1391.58	1391.49	1391.75	1389.48	1390.99	1389.42	2.1	0.5	Kings	 CA
208	Lake, CA	1329.59	1329.48	1262.29	1258.47	1257.96	1256.46	71.12	71.52	Lake	 CA
209	Lassen, CA	4720.61	4720.37	4552.53	4557.49	4557.27	4541.18	163.12	163.1	Lassen	 CA
210	Los Angeles, CA	4752.32	4752.32	4070.11	4059.97	4060.87	4057.88	692.35	691.45	Los Angeles	 CA
211	Madera, CA	2153.39	2153.32	2144.8	2138.43	2135.86	2137.07	14.96	17.46	Madera	 CA
212	Marin, CA	828.22	828.2	522.73	519.78	519.8	520.31	308.44	308.39	Marin	 CA
213	Mariposa, CA	1462.89	1462.79	1456.02	1451.21	1451.12	1448.82	11.68	11.67	Mariposa	 CA
214	Mendocino, CA	3878.5	3878.14	3512.11	3509.28	3508.97	3506.34	369.22	369.17	Mendocino	 CA
215	Merced, CA	1972.02	1971.87	1944.47	1928.89	1928.69	1934.97	43.13	43.18	Merced	 CA
216	Modoc, CA	4203.62	4203.37	4064.37	3944.36	3944.1	3917.77	259.26	259.28	Modoc	 CA
217	Mono, CA	3131.89	3131.8	3018.33	3044.48	3044.4	3048.98	87.41	87.4	Mono	 CA
218	Monterey, CA	3771.11	3771.07	3303.09	3321.95	3321.95	3280.6	449.16	449.12	Monterey	 CA
219	Napa, CA	788.34	788.27	744.16	753.86	753.73	748.36	34.48	34.53	Napa	 CA
220	Nevada, CA	974.54	974.49	960.23	957.66	957.61	957.77	16.88	16.88	Nevada	 CA
221	Orange, CA	947.91	947.98	797.84	789.68	789.4	790.57	158.23	158.57	Orange	 CA
222	Placer, CA	1500.24	1502.78	1416.07	1404.41	1404.37	1407.01	95.83	98.41	Placer	 CA
223	Plumas, CA	2613.75	2613.48	2572.77	2553.96	2553.69	2553.04	59.79	59.78	Plumas	 CA
224	Riverside, CA	7303.81	7303.13	7214.03	7208.15	7207.37	7206.48	95.66	95.76	Riverside	 CA
225	Sacramento, CA	995.65	995.48	971.35	965.69	965.65	964.64	29.96	29.83	Sacramento	 CA
226	San Benito, CA	1390.81	1390.73	1387.98	1389.13	1389.06	1388.71	1.68	1.68	San Benito	 CA
227	San Bernardino, CA	20106.39	20105.32	20064.44	20061.78	20052.5	20056.94	44.61	52.82	San Bernardino	 CA
228	San Diego, CA	4525.92	4525.52	4211.6	4204.48	4199.89	4206.63	321.44	325.62	San Diego	 CA
229	San Francisco, CA	231.89	231.92	46.39	46.7	46.69	46.87	185.19	185.22	San Francisco	 CA
230	San Joaquin, CA	1426.37	1426.25	1415.19	1399.44	1399.28	1391.32	26.93	26.97	San Joaquin	 CA
231	San Luis Obispo, CA	3615.73	3615.54	3308.12	3304.5	3304.32	3298.57	311.23	311.22	San Luis Obispo	 CA
232	San Mateo, CA	741.07	741.01	446.6	449.11	449.07	448.41	291.96	291.95	San Mateo	 CA
233	Santa Barbara, CA	3789.56	3789.08	2747.95	2738.46	2737.01	2735.09	1051.1	1052.07	Santa Barbara	 CA
234	Santa Clara, CA	1304.53	1304.01	1292.99	1291.22	1290.69	1290.1	13.31	13.32	Santa Clara	 CA
235	Santa Cruz, CA	607.72	607.16	446.48	445.79	445.24	445.17	161.93	161.92	Santa Cruz	 CA
236	Shasta, CA	3847.61	3847.44	3786.17	3785.66	3785.19	3775.4	61.95	62.24	Shasta	 CA
237	Sierra, CA	962.03	961.97	959.14	953.44	953.38	953.21	8.59	8.59	Sierra	 CA
238	Siskiyou, CA	6347.81	6347.46	6280.73	6287.25	6286.78	6277.89	60.56	60.68	Siskiyou	 CA
239	Solano, CA	906.85	906.67	834.4	828.17	829.19	821.77	78.68	77.48	Solano	 CA
240	Sonoma, CA	1768.35	1768.23	1603.89	1576.21	1575.88	1575.85	192.14	192.35	Sonoma	 CA
241	Stanislaus, CA	1514.8	1514.67	1506.21	1494.56	1493.79	1494.83	20.24	20.88	Stanislaus	 CA
242	Sutter, CA	608.86	608.58	601.92	602.7	602.54	602.41	6.16	6.04	Sutter	 CA
243	Tehama, CA	2962.3	2962.27	2953.31	2951.04	2950.99	2949.71	11.26	11.28	Tehama	 CA
244	Trinity, CA	3207.79	3207.54	3189.73	3178.86	3178.61	3179.25	28.93	28.93	Trinity	 CA
245	Tulare, CA	4839.41	4839.09	4808.38	4824.33	4823.97	4824.22	15.08	15.12	Tulare	 CA
246	Tuolumne, CA	2274.52	2274.34	2233.75	2235.65	2235.41	2220.88	38.87	38.93	Tuolumne	 CA
247	Ventura, CA	2208.36	2208.2	1862.16	1845.95	1845.3	1843.13	362.41	362.9	Ventura	 CA
248	Yolo, CA	1022.87	1022.89	1014.26	1012.44	1013.27	1014.69	10.43	9.62	Yolo	 CA
249	Yuba, CA	643.55	643.73	640.23	630.45	630.69	631.84	13.1	13.04	Yuba	 CA
250	COLORADO	104100.32	104093.57	103594.84	103729.54	103717.53	103641.89	370.78	376.04		
251	Adams, CO	1197.83	1197.71	1234.76	1192.02	1191.93	1167.65	5.81	5.78	Adams	 CO
252	Alamosa, CO	723.59	723.53	719.2	722.81	722.74	722.64	0.78	0.78	Alamosa	 CO
253	Arapahoe, CO	805.47	805.43	800.03	803.17	803.14	798.1	2.3	2.29	Arapahoe	 CO
254	Archuleta, CO	1354.65	1355.48	1352.6	1349.39	1350.22	1350.18	5.26	5.26	Archuleta	 CO
255	Baca, CO	2557.24	2557.09	2553.72	2555.87	2555.72	2554.97	1.37	1.37	Baca	 CO
