	AreaName	Total area in square miles 1990	Total area in square miles 2000	Land area in square miles 1980	Land area in square miles 1990	Land area in square miles 2000	Land area in square miles 2010	Water area in square miles 1990	Water area in square miles 2000	county	state
2097	Crawford, OH	402.85	402.83	402.62	402.33	402.11	401.79	0.52	0.72	Crawford	 OH
2098	Cuyahoga, OH	1245.62	1245.56	458.7	458.28	458.49	457.19	787.34	787.07	Cuyahoga	 OH
2099	Darke, OH	600.38	600.29	599.62	599.92	599.8	598.1	0.46	0.49	Darke	 OH
2100	Defiance, OH	414.21	414.19	414.08	411.22	411.16	411.46	2.99	3.03	Defiance	 OH
2101	Delaware, OH	455.99	455.97	443.01	442.54	442.41	443.1	13.45	13.56	Delaware	 OH
2102	Erie, OH	625.78	626.15	263.8	254.5	254.88	251.56	371.28	371.27	Erie	 OH
2103	Fairfield, OH	508.58	508.6	506.24	505.74	505.11	504.41	2.84	3.49	Fairfield	 OH
2104	Fayette, OH	407.11	407.08	404.59	406.61	406.58	406.36	0.5	0.5	Fayette	 OH
2105	Franklin, OH	543.35	543.32	542.6	539.97	539.87	532.19	3.38	3.45	Franklin	 OH
2106	Fulton, OH	407.36	407.32	407.05	406.82	406.78	405.44	0.54	0.54	Fulton	 OH
2107	Gallia, OH	471.16	471.13	471.09	468.8	468.78	466.53	2.36	2.36	Gallia	 OH
2108	Geauga, OH	408.71	408.29	407.82	404.14	403.66	400.16	4.57	4.63	Geauga	 OH
2109	Greene, OH	416.24	416.21	415.59	414.92	414.88	413.73	1.32	1.34	Greene	 OH
2110	Guernsey, OH	528.33	528.29	522.45	522.05	521.9	522.25	6.28	6.39	Guernsey	 OH
2111	Hamilton, OH	412.81	412.78	412.27	407.39	407.36	405.91	5.42	5.42	Hamilton	 OH
2112	Hancock, OH	533.64	533.6	532.18	531.4	531.35	531.36	2.24	2.24	Hancock	 OH
2113	Hardin, OH	470.55	470.54	471.05	470.3	470.29	470.41	0.25	0.25	Hardin	 OH
2114	Harrison, OH	410.81	410.79	400.44	403.56	403.53	402.34	7.25	7.26	Harrison	 OH
2115	Henry, OH	420.0	419.98	415.46	416.53	416.5	416.01	3.47	3.47	Henry	 OH
2116	Highland, OH	557.89	557.84	553.22	553.33	553.28	553.08	4.56	4.56	Highland	 OH
2117	Hocking, OH	423.62	423.6	423.11	422.78	422.75	421.32	0.84	0.85	Hocking	 OH
2118	Holmes, OH	424.04	424.02	423.93	423.01	422.99	422.53	1.03	1.03	Holmes	 OH
2119	Huron, OH	494.94	494.52	494.4	493.1	492.69	491.5	1.84	1.83	Huron	 OH
2120	Jackson, OH	421.52	421.5	420.28	420.3	420.28	420.3	1.22	1.22	Jackson	 OH
2121	Jefferson, OH	410.89	410.87	409.83	409.63	409.61	408.33	1.26	1.27	Jefferson	 OH
2122	Knox, OH	529.56	529.53	528.58	527.15	527.12	525.49	2.41	2.41	Knox	 OH
2123	Lake, OH	979.02	978.87	231.3	228.23	228.21	227.49	750.79	750.65	Lake	 OH
2124	Lawrence, OH	457.3	457.28	456.5	455.45	454.96	453.37	1.85	2.32	Lawrence	 OH
2125	Licking, OH	688.39	688.38	685.99	686.51	686.5	682.5	1.88	1.88	Licking	 OH
2126	Logan, OH	466.81	466.78	457.72	458.48	458.44	458.43	8.33	8.34	Logan	 OH
2127	Lorain, OH	923.09	923.02	494.73	492.57	492.5	491.1	430.52	430.52	Lorain	 OH
2128	Lucas, OH	560.64	595.88	341.15	340.39	340.46	340.86	220.25	255.42	Lucas	 OH
2129	Madison, OH	465.97	466.18	466.92	465.25	465.44	465.88	0.72	0.74	Madison	 OH
2130	Mahoning, OH	423.4	423.38	416.57	415.27	415.25	411.62	8.13	8.14	Mahoning	 OH
