,FIPS,Name,State,Latitudes,Longitudes
119,15009,Maui,HI,20.7983626,-156.3319253
120,16001,Ada,ID,43.478767,-116.2420304
121,16013,Blaine,ID,43.4743428,-113.9664446
122,16027,Canyon,ID,43.67795810000001,-116.6865435
123,16053,Jerome,ID,42.7240732,-114.5186534
124,16055,Kootenai,ID,48.3102037,-116.5135257
125,16065,Madison,ID,43.7508332,-111.5583742
126,16069,Nez Perce,ID,46.2348914,-116.2406975
127,17019,Champaign,IL,40.1164204,-88.2433829
128,17029,Coles,IL,39.5560011,-88.24611829999999
129,17031,Cook,IL,41.7376587,-87.697554
130,17035,Cumberland,IL,39.2653533,-88.2071598
131,17037,De Kalb,IL,41.9294736,-88.75036469999999
132,17041,Douglas,IL,38.422771,-89.97888999999999
133,17043,Du Page,IL,41.8243831,-88.0900762
134,17049,Effingham,IL,39.1200418,-88.5433829
135,17055,Franklin,IL,39.6203259,-90.04400009999999
136,17063,Grundy,IL,41.3500531,-88.4016041
137,17073,Henry,IL,41.1114249,-89.35647759999999
138,17077,Jackson,IL,37.7218304,-89.3226954
139,17081,Jefferson,IL,38.2267348,-88.86469799999999
140,17083,Jersey,IL,39.0704754,-90.37483540000001
141,17089,Kane,IL,39.190047,-90.35372699999999
142,17093,Kendall,IL,41.5507043,-88.4403883
143,17097,Lake,IL,42.3689363,-87.8271534
144,17099,La Salle,IL,41.3621503,-89.0418249
145,17103,Lee,IL,41.7950293,-88.9414786
146,17111,McHenry,IL,42.333355,-88.2667534
147,17115,Macon,IL,39.7128155,-88.9970218
148,17119,Madison,IL,38.6825502,-90.1570536
149,17141,Ogle,IL,41.9969811,-89.3226954
150,17161,Rock Island,IL,41.5094771,-90.5787476
151,17163,St Clair,IL,38.40081199999999,-89.9253233
152,17173,Shelby,IL,39.3980704,-88.86469799999999
153,17179,Tazewell,IL,40.5522078,-89.4742177
154,17183,Vermilion,IL,40.122469,-87.697554
155,17191,Wayne,IL,41.9508336,-88.242369
156,17193,White,IL,38.0501137,-88.24611829999999
157,17197,Will,IL,41.5054724,-88.0900762
158,17199,Williamson,IL,38.9856018,-89.7639829
159,17201,Winnebago,IL,42.2661311,-89.2412202
160,17203,Woodford,IL,40.7128889,-89.1705998
161,18001,Adams,IN,40.7249237,-84.8984775
162,18003,Allen,IN,41.20004840000001,-85.1958063
163,18005,Bartholomew,IN,39.206801,-85.8895551
164,18015,Carroll,IN,40.542415,-86.5400674
165,18019,Clark,IN,38.4492903,-85.7256372
166,18027,Daviess,IN,38.7020241,-87.14228949999999
167,18035,Delaware,IN,39.1478313,-85.2071816
168,18037,Dubois,IN,38.4453945,-86.8041574
169,18039,Elkhart,IN,41.6819935,-85.9766671
170,18041,Fayette,IN,39.9311099,-86.39721999999999
171,18053,Grant,IN,37.09024,-95.712891
172,18055,Greene,IN,40.4083777,-85.09996939999999
173,18057,Hamilton,IN,41.53366159999999,-84.9127396
174,18059,Hancock,IN,39.8249915,-85.84862360000001
175,18063,Hendricks,IN,39.8064942,-86.5400674
176,18065,Henry,IN,39.9704844,-85.35496499999999
177,18067,Howard,IN,40.4482767,-86.1344697
178,18073,Jasper,IN,38.3914418,-86.9311094
179,18079,Jennings,IN,38.9914998,-85.684578
180,18081,Johnson,IN,38.277823,-87.74586099999999
181,18089,Lake,IN,42.18391,-88.320894
182,18095,Madison,IN,38.7358933,-85.37995769999999
183,18097,Marion,IN,40.5583739,-85.6591442
184,18099,Marshall,IN,39.8480969,-87.18779010000002
185,18101,Martin,IN,36.3433965,-88.8503379
186,18103,Miami,IN,25.7616798,-80.1917902
187,18105,Monroe,IN,40.7450468,-84.9369111
188,18113,Noble,IN,41.4277391,-85.35496499999999
189,18119,Owen,IN,38.4581201,-85.5419048
190,18127,Porter,IN,41.6163803,-87.0747971
191,18133,Putnam,IN,39.690997,-86.8220341
192,18135,Randolph,IN,40.2661553,-84.9758004
193,18137,Ripley,IN,39.0986811,-85.2308414
194,18141,St Joseph,IN,41.6228085,-86.3376761
195,18149,Starke,IN,41.2715616,-86.6207943
196,18151,Steuben,IN,41.6115471,-84.981754
197,18157,Tippecanoe,IN,40.34697310000001,-86.8220341
198,18161,Union,IN,38.4652211,-87.4353991
199,18167,Vigo,IN,39.4165382,-87.42075179999999
200,18169,Wabash,IN,40.797821,-85.8205411
201,18173,Warrick,IN,38.0736703,-87.2618328
202,18177,Wayne,IN,39.831882,-84.981754
203,18179,Wells,IN,44.240643,-88.87020799999999
204,19011,Benton,IA,40.7033242,-94.3582909
205,19013,Black Hawk,IA,42.447804,-92.38136209999999
206,19021,Buena Vista,IA,42.6705452,-95.1432068
207,19057,Des Moines,IA,41.5868353,-93.6249593
208,19061,Dubuque,IA,42.50226610000001,-90.66546749999999
209,19087,Henry,IA,41.0283603,-91.5983959
210,19095,Iowa,IA,41.8780025,-93.097702
211,19103,Johnson,IA,41.6698982,-91.5983959
212,19113,Linn,IA,42.0659844,-91.67606909999999
213,19117,Lucas,IA,41.0274991,-93.4599348
214,19153,Polk,IA,41.6278423,-93.5003454
215,19155,Pottawattamie,IA,41.3911501,-95.4777811
216,19157,Poweshiek,IA,41.6530119,-92.539603
217,19163,Scott,IA,41.6393199,-90.6393702
218,19167,Sioux,IA,42.4963416,-96.40494079999999
219,19169,Story,IA,42.1040438,-93.5003454
220,19171,Tama,IA,41.9627392,-92.576753
221,19179,Wapello,IA,41.18141929999999,-91.1854273
222,20055,Finney,KS,38.0625252,-100.8903099
223,20069,Gray,KS,37.6840811,-100.439656
224,20091,Johnson,KS,37.5703377,-101.7506777
225,20103,Leavenworth,KS,39.3111112,-94.9224637
226,20111,Lyon,KS,38.4078037,-96.15269850000001
227,20129,Morton,KS,37.1333387,-101.7979613
228,20155,Reno,KS,37.9569553,-98.04651849999999
